,index,Year,Total,Non Hispanic,Non Hispanic White,Non Hispanic Black,Non Hispanic American Indian and Alaska Native,Non Hispanic Asian,Non Hispanic Native Hawaiian and Other Pacific Islander,Non Hispanic Some other race,Non Hispanic Two or more races,Hispanic,Percent Total,Percent Non Hispanic,Percent Non Hispanic White,Percent Non Hispanic Black,Percent Non Hispanic American Indian and Alaska Native,Percent Non Hispanic Asian,Percent Non Hispanic Native Hawaiian and Other Pacific Islander,Percent Non Hispanic Some other race,Percent Non Hispanic Two or more races,Percent Hispanic,Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ASHBY,2019,1218.967742,1021.129032,467.9354839,312.1774194,4.14516129,155.1612903,0,6.258064516,75.4516129,197.8387097,100,83.27863057,38.71519783,25.45885032,0.314535596,12.04235316,0,0.646888871,6.100804797,16.72136943,0.807619936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MACARTHUR,2019,1330.935484,1127.741935,386,495.7096774,5.419354839,119.9354839,8.322580645,9.677419355,102.6774194,203.1935484,100,85.02938857,31.02549016,37.77634873,0.290737921,7.682165481,0.668313764,0.520291363,7.066041157,14.97061143,0.798501084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HAYWARD,2019,2545,1773,381,211,0,1067,10,0,104,772,100,69.66601179,14.97053045,8.290766208,0,41.92534381,0.392927308,0,4.086444008,30.33398821,0.801418023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SOUTH HAYWARD,2019,2119.388889,1455.111111,234.1111111,156.2777778,7.333333333,896.3333333,71.88888889,0,89.16666667,664.2777778,100,65.76169826,10.52493672,7.450659533,0.270902598,39.13366098,3.428012945,0,4.953525482,34.23830174,0.753840905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FRUITVALE,2019,1471.136364,1218.954545,921,23.77272727,8,220.2727273,3.272727273,10.77272727,31.86363636,252.1818182,100,82.22134612,62.00734503,1.543570851,0.556480594,14.65227279,0.244781397,0.842041469,2.374853991,17.77865388,0.611172819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NORTH BERKELEY,2019,1413.913043,1118,586.4782609,264.7391304,0,168.173913,46.26086957,0,52.34782609,295.9130435,100,79.23525421,41.80767493,17.79264072,0,12.04838439,3.115086733,0,4.471467426,20.76474579,0.804233776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19TH STREET/OAKLAND,2019,1120.925,990.9,256.225,180.8,5.05,500.975,9.8,4.55,33.5,130.025,100,88.4229142,24.58106584,19.66668327,1.128599392,39.49040611,0.621582248,0.362242092,2.572335243,11.5770858,0.757192542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BAY FAIR,2019,1220.538462,503,67.07692308,183.9230769,4.307692308,212,0,0,35.69230769,717.5384615,100,37.23059186,5.188289157,13.05264558,0.455840456,15.51320851,0,0,3.020608157,62.76940814,0.596338046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UNION CITY,2019,2266.925926,1994.703704,326.4814815,99.37037037,4.444444444,1277.666667,19.66666667,5.333333333,261.7407407,272.2222222,100,83.6002601,14.65324848,4.38349352,0.231360981,55.01013812,0.533261027,0.14461316,8.64414481,16.3997399,0.708904891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LAKE MERRITT,2019,1797.84,1647.54,500.58,142.68,13.04,869.38,6.28,2.6,112.98,150.3,100,92.59406286,29.37496329,8.030561231,0.812625301,47.9602312,0.507593359,0.19228398,5.715804501,7.405937139,0.695569088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ASHBY,2013,1052.5,876.2096774,361.5806452,369.6451613,2.629032258,95.59677419,1.612903226,1.983870968,43.16129032,176.2903226,100,82.82067572,34.76188943,34.12569834,0.247048958,9.161331306,0.148693956,0.198643416,4.177370307,17.17932428,0.779275385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MACARTHUR,2013,1084.645161,883.5806452,235.0967742,464.2258065,0.870967742,146.2258065,5.161290323,0.967741935,31.03225806,201.0645161,100,82.38754819,22.95176367,43.4702823,0.074188053,12.61366885,0.348862488,0.08243117,2.846351652,17.61245181,0.764635398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,HAYWARD,2013,2107.571429,866.4285714,272.1428571,176.5714286,2.857142857,284,29,0,101.8571429,1241.142857,100,42.76780974,13.78495467,7.22527457,0.123632317,16.06897212,1.489872218,0,4.075103842,57.23219026,0.673415178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SOUTH HAYWARD,2013,1926.666667,1236.166667,296.3888889,118.2222222,3.277777778,682.1666667,66.27777778,1.777777778,68.05555556,690.5,100,61.98604604,15.32492175,5.858013777,0.353971682,34.11247468,3.070054964,0.125130551,3.141478626,38.01395396,0.720261748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FRUITVALE,2013,1149.363636,908.4090909,567.0454545,56.86363636,4.772727273,224.4545455,2.136363636,12.77272727,40.36363636,240.9545455,100,76.50797224,49.5091883,5.297259395,0.469523253,16.95902143,0.214336184,0.816036207,3.242607473,23.49202776,0.633157179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NORTH BERKELEY,2013,1174.826087,951.0869565,578.6956522,135.3478261,4.043478261,178.3043478,6.695652174,3.695652174,44.30434783,223.7391304,100,82.60733411,51.31138502,11.32079977,0.26332784,15.2453948,0.50844326,0.3643262,3.593657232,17.39266589,0.705502498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19TH STREET/OAKLAND,2013,1123.975,1015.475,233.8,304.025,4.825,421.3,3.975,0.85,46.7,108.5,100,87.54296547,25.12032505,24.62349126,0.387667839,33.59243252,0.391120331,0.073543042,3.354385422,12.45703453,0.657918592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BAY FAIR,2013,1574.538462,1087.769231,306.4615385,185.6923077,9.461538462,494.7692308,23.23076923,0,68.15384615,486.7692308,100,68.84409437,20.84210582,11.17623167,0.672843678,29.95759213,1.597920384,0,4.597400682,31.15590563,0.806828171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UNION CITY,2013,2059.222222,1634.592593,351,79.33333333,8.925925926,1024,22.44444444,9.148148148,139.7407407,424.6296296,100,73.81261836,15.71280059,3.862547305,0.395142468,47.09338162,0.84608283,0.452454096,5.450209446,26.18738164,0.69927286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LAKE MERRITT,2013,1223.9,1106.96,332.3,142.54,3.6,559,3.96,0.42,65.14,116.94,100,89.76719116,29.02168646,11.35788447,0.328658756,43.70352396,0.424249917,0.025424425,4.905763171,10.23280884,0.680032879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,